,cost,name,damage,text,id
1413,"['P', 'C', 'C', 'C']",Spooky Sand,150,,68af82cac4f780b5153e659c
1414,['P'],Sand Attack,10,"duringyour opponent's next turn, if the DefendingPokémon tries to use an attack, your opponent flips a coin. If tails, that attack doesn't happen.",68af82cac4f780b5153e659f
1415,"['P', 'C', 'C']",Spooky Shot,30,,68af82cac4f780b5153e659f
1416,"['P', 'C']",Slu[RP] Slu[RP],90x,"Flip 2 coins. This attack does 90 damage for each heads. If both of them are tails, your opponent's Active Pokémon is now Confused.",68af82cac4f780b5153e65a2
1417,"['P', 'C']",Magical Shot,120,,68af82cac4f780b5153e65a8
1418,"['P', 'C']",Spinning Attack,40,,68af82cac4f780b5153e65ab
1419,['P'],Fairy Wind,10,,68af82cac4f780b5153e65ae
1420,['P'],Hyper Voice,20,,68af82cbc4f780b5153e65b1
1421,"['C', 'C']",One-derful Rumble,40x,This attack does 40 damage for each of your Stage 1 Pokémon in play.,68af82cbc4f780b5153e65b4
1422,"['P', 'C', 'C']",Eerie Wave,80,Your opponent's Active Pokémon is now confused.,68af82cbc4f780b5153e65b4
1423,['C'],Dual Headbutt,30,This attack also does 10 damage to 1 of your Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon),68af82cbc4f780b5153e65b7
1424,['P'],Psychic,10+,This attack does 50 more damage for each Energy attached to your opponent's Active Pokémon.,68af82cbc4f780b5153e65ba
1425,['P'],Psychic,10+,This attack does 30 more damage for each Energy attached to your opponent's Active Pokémon.,68af82cbc4f780b5153e65bd
1426,['P'],Beam,10,,68af82cbc4f780b5153e65c0
1427,"['P', 'C', 'C']",Magical Shot,100,,68af82cbc4f780b5153e65c3
1428,"['C', 'C']",Moon Kick,40,,68af82cbc4f780b5153e65c6
1429,"['L', 'C', 'C']",Volt Cyclone,140,Move an Energy from this Pokémon to 1 of your Benched Pokémon.,68af82cbc4f780b5153e65c9
1430,['C'],Wind Power Charge,10,"duringyour next turn, attacks used by this Pokémon do 120 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance).",68af82cbc4f780b5153e65cc
1431,['L'],Thunder Shock,10,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",68af82cbc4f780b5153e65cf
1432,"['L', 'C']",Thunder Shock,50,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",68af82cbc4f780b5153e65d2
1433,"['L', 'L', 'C']",Electric Ball,130,,68af82cbc4f780b5153e65d2
1434,['C'],Tackle,10,,68af82cbc4f780b5153e65d5
1435,"['L', 'C']",Electro Ball,20,,68af82cbc4f780b5153e65d5
1436,['L'],Wild Charge,70,This Pokémon also deals 20 damage to itself.,68af82cbc4f780b5153e65db
1437,['L'],Static Shock,10,,68af82cbc4f780b5153e65de
1438,['C'],Sky Wave,10,This attack also does 10 damage to each Benched Pokémon (both yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pokémon.),68af82cbc4f780b5153e65e1
1439,"['C', 'C']",PiercingGaze,120,Your opponent reveals their hand. Discard a card you find there.,68af82cbc4f780b5153e65e4
1440,"['L', 'L']",Volt Strike,250,Discard all Energy from this Pokémon.,68af82cbc4f780b5153e65e4
1441,"['L', 'L']",Bi[G]Bite,60,"duringyour opponent's next turn, the DefendingPokémon can't retreat.",68af82cbc4f780b5153e65e7
1442,"['L', 'L']",Static Shock,30,,68af82cbc4f780b5153e65ea
1443,"['L', 'L', 'C']",Thunderbolt,190,Discard all energy from this Pokémon.,68af82cbc4f780b5153e65ed
1444,['C'],Sob,20,"duringyour opponent's next turn, the DefendingPokémon can't retreat.",68af82cbc4f780b5153e65f0
1445,"['W', 'C', 'C']",Torrential Pump,100,"You may shuffle 3 Energy attached to this Pokémon into your deck. If you do, this attack also does 120 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",68af82cbc4f780b5153e65f0
1446,['W'],Aurora Gain,20,Heal 20 damage from this Pokémon.,68af82cbc4f780b5153e65f3
1447,"['W', 'W', 'C']",Undulating Slice,20x,Put up to 9 damage counters on this Pokémon. This attack does 20 damage for each damage counter you placed in this way.,68af82cbc4f780b5153e65f3
1448,"['W', 'C']",Interject,60,"Switch this Pokémon with 1 of your Bench Pokémon. If you do, switch out your opponent's Active Pokémon to the Bench. (You opponent chooses the ne[W] Active Pokémon.)",68af82cbc4f780b5153e65f6
1449,['W'],Giga Impact,250,"duringyour next turn, this Pokémon can't attack.",68af82ccc4f780b5153e65f9
1450,"['W', 'C']",Wave Splash,30,,68af82ccc4f780b5153e65fc
1451,['W'],Aqua Slash,30,"duringyour next turn, this Pokémon can't attack.",68af82ccc4f780b5153e65ff
1452,['W'],Water Gun,20,,68af82ccc4f780b5153e6602
1453,"['C', 'C', 'C']","Spit Shot
Discard all Energy from this Pokémon. this attack does 120 to 1 of your opponent's Bench Pokémon.",Don't apply Weakness and Resistance for Benched Pokémon,,68af82ccc4f780b5153e6602
1454,['W'],NumbingWater,20,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",68af82ccc4f780b5153e6605
1455,['W'],Flop,10,,68af82ccc4f780b5153e6608
1456,['W'],Energy Press,20x,This attack does 20 damage for each Energy attached to your opponent's Active Pokémon.,68af82ccc4f780b5153e660b
1457,['W'],PermeatingChi[LL],30,"At the end of your opponent's next turn, put 9 damage counters on the Defendin[G]Pokémon.",68af82ccc4f780b5153e660e
1458,"['W', 'C']",Icicle Missile,70,,68af82ccc4f780b5153e660e
1459,"['W', 'C']",Frost Smash,60,,68af82ccc4f780b5153e6611
1460,['W'],Damage Beat,20x,This attack does 20 damage for each damage counter on your opponent's Active Pokémon.,68af82ccc4f780b5153e6614
1461,"['W', 'C', 'C']",Crazy Headbutt,140,Discard an Energy from this Pokémon.,68af82ccc4f780b5153e6614
1462,"['W', 'C']",Astonish,20,Choose a random card from your opponent's hand. Your opponent reveals that card and shuffles it into their deck.,68af82ccc4f780b5153e6617
1463,"['W', 'C', 'C']",Hydro Splash,100,,68af82ccc4f780b5153e661a
1464,['W'],Flail,10x,This attack does 10 damage for each damage counter on this Pokémon.,68af82ccc4f780b5153e661d
1465,"['W', 'C']",Snip Snip,40,"Flip 2 coins. For each heads, discard the top card of your opponent's deck.",68af82ccc4f780b5153e6620
1466,"['W', 'W', 'C']",Rampaging Hammer,180,"during your next turn, this Pokémon can't attack.",68af82ccc4f780b5153e6620
1467,"['W', 'W', 'C']",Vise Grip,60,,68af82ccc4f780b5153e6623
1468,['W'],Icy Snow,30,,68af82ccc4f780b5153e6626
1469,['W'],Peck O[FF],50,"Before doingdamage, discard all Pokémon Tools from your opponent's Active Pokémon.",68af82ccc4f780b5153e6629
1470,"['C', 'C', 'C']",Horn Dri[LL],90,,68af82ccc4f780b5153e6629
1471,"['C', 'C']",Whirlpool,10,"Flip a coin. If heads, discard an energy from your opponent's Active Pokémon.",68af82ccc4f780b5153e662c
1472,"['C', 'C']",Jumping Uppercut,120+,"You may do 120 more damage. If you do, shuffle this Pokémon and all attached cards into your deck.",68af82ccc4f780b5153e662f
1473,"['C', 'C']",Double Slap,30x,Flip 2 coins. This attack does 30 damage for each heads.,68af82ccc4f780b5153e6632
1474,['W'],Stampede,10,,68af82ccc4f780b5153e6635
1475,"['C', 'C']",Tail Rap,20x,Flip 2 coins. This attack does 20 damage for each heads.,68af82ccc4f780b5153e6635
1476,"['R', 'C', 'C']",Wrathful Hearth,20x,This attack does 20 damage for each damage counter on this Pokémon.,68af82ccc4f780b5153e6638
1477,"['R', 'R', 'R']",Dynamic Blaze,140+,"If your opponent's Active Pokémon is an Evolution Pokémon, this attack does 140 more damage, and discard all Energy from this Pokémon.",68af82ccc4f780b5153e6638
1478,"['R', 'C']",Ground Melter,60+,"If a Stadium is in play, this attack does 60 more damage. Then, discard that Stadium.",68af82ccc4f780b5153e663b
1479,['R'],Mind Ruler,30x,This attack does 30 damage for each card in your opponent's hand.,68af82ccc4f780b5153e663e
1480,['R'],Live Coal,20,,68af82ccc4f780b5153e6641
1481,"['R', 'C']",Burn It all Up,60,Discard all Energy from this Pokémon.,68af82ccc4f780b5153e6641
1482,"['R', 'C']",Live Coal,20,,68af82cdc4f780b5153e6644
1483,"['R', 'R']",RollingTackle,60,,68af82cdc4f780b5153e6647
1484,"['R', 'R', 'R']",Inferno Onrush,210,This Pokémon also does 70 damage to itself.,68af82cdc4f780b5153e6647
1485,['R'],Strength,10,,68af82cdc4f780b5153e664a
1486,"['R', 'R']",Fire Tackle,50,This Pokémon also does 20 damage to itself.,68af82cdc4f780b5153e664a
1487,"['R', 'R', 'C']",ScorchingFire,200,Discard an Energy from this Pokémon.,68af82cdc4f780b5153e664d
1488,"['R', 'C']",Chop,40,,68af82cdc4f780b5153e6650
1489,"['R', 'R', 'C']",Heat Blo[W],80,Discard all Energy from this Pokémon.,68af82cdc4f780b5153e6650
1490,"['R', 'C']",Firebreathing,20+,"Flip a coin. If heads, this attack does 20 more damage.",68af82cdc4f780b5153e6653
1491,"['R', 'C']",RammingShe[LL],30,"duringyour opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).",68af82cdc4f780b5153e6656
1492,"['R', 'C', 'C']",Fire Spin,110,Discard 2 Energy from this Pokémon.,68af82cdc4f780b5153e6656
1493,"['R', 'C']",Hot Magma,70,Your opponent's Active Pokémon is now Burned.,68af82cdc4f780b5153e6659
1494,"['R', 'R', 'C']",Ground Burn,140+,Discard the top card of each player's deck. This attack does 140 more damage for each Energy card discarded in this way.,68af82cdc4f780b5153e6659
1495,"['R', 'C']",Hot Magma,20,Your opponent's Active Pokémon is now Burned.,68af82cdc4f780b5153e665c
1496,"['R', 'R']",Eerie Glo[W],90,Your opponent's Active Pokémon is now Burned and Confused.,68af82cdc4f780b5153e665f
1497,"['R', 'R']",Live Coal,40,,68af82cdc4f780b5153e6662
1498,"['G', 'G', 'G']",Myriad Leaf Shower,30+,This attack does 30 more damage for each energy attached to both Active Pokémon.,68af82cdc4f780b5153e6665
1499,"['G', 'C']",Ogre Comeback,20+,This attack does 20 more damage for each of your opponent's Benched Pokémon.,68af82cdc4f780b5153e6668
1500,"['G', 'C']",Matcha Splash,120,Heal 30 damage from each of your Pokémon.,68af82cdc4f780b5153e666b
1501,['G'],Spi[LL] the Tea,70x,Discard up to 3 G Energy cards from your Pokémon. This attack does 70 damage for each card you discarded this way.,68af82cdc4f780b5153e666e
1502,['G'],Surprise Attack,30,"Flip a coin. If tails, this attack does nothing.",68af82cdc4f780b5153e6671
1503,['G'],Hook,10,,68af82cdc4f780b5153e6674
1504,"['G', 'C', 'C']",Avenging Edge,100+,"If any of your Pokémon were Knocked Out by damage from an attack during your opponent's last turn, this attack does 60 more damage.",68af82cdc4f780b5153e6677
1505,['G'],Do the Wave,20x,This attack does 20 damage for each of your Benched Pokémon.,68af82cdc4f780b5153e667a
1506,['G'],TumblingAttack,10+,"Flip a coin. If heads, this attack does 20 more damage.",68af82cdc4f780b5153e667d
1507,['G'],Drum Beating,60,"duringyour opponent's next turn, attacks used by the DefendingPokémon cost C more, and it's Retreat Cost is C more.",68af82cdc4f780b5153e6680
1508,"['G', 'G']",Wood Hammer,180,This Pokémon also does 50 damage to itself.,68af82cdc4f780b5153e6680
1509,"['G', 'G']",Beat,50,,68af82cdc4f780b5153e6683
1510,['G'],Smash Kick,10,,68af82cdc4f780b5153e6686
1511,"['G', 'G']",Branch Poke,30,,68af82cdc4f780b5153e6686
1512,"['G', 'C']",Giga Drain,50,Heal from this Pokémon the same amount of damage you did to your opponent's Active Pokémon.,68af82cdc4f780b5153e6689
1513,"['G', 'G', 'C']",Forest Dump,130,,68af82cdc4f780b5153e6689
1514,"['G', 'C']",Leech Seed,20,Heal 20 damage from this Pokémon.,68af82cdc4f780b5153e668c
1515,"['G', 'C']",Solar Beam,70,,68af82cec4f780b5153e668f
1516,"['G', 'C']",Glide,30,,68af82cec4f780b5153e6692
1517,"['C', 'C']",Coordinated Strike,20+,"If Illumise is on your bench, this attack does 60 more damage.",68af82cec4f780b5153e6695
1518,"['G', 'C', 'C']",Body Slam,10,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",68af82cec4f780b5153e6698
1519,"['G', 'C', 'C', 'C']",Seismic Toss,130,,68af82cec4f780b5153e6698
1520,['G'],Redirected Sunlight,60x,This attack does 60 damage for each R Energy attached to all of your opponent's Pokémon.,68af82cec4f780b5153e669b
1521,"['G', 'C']",Mega Drain,50,Heal 30 damage from this Pokémon.,68af82cec4f780b5153e669b
1522,['G'],Bullet Seed,10x,Flip 4 coins. This attack does 10 damage for each heads.,68af82cec4f780b5153e669e
1523,['G'],StringBind,10+,This attack does 30 more damage for each C in your opponent's Active Pokémon's retreat Cost.,68af82cec4f780b5153e66a1
1524,['G'],Bi[G]Bite,20,,68af82cec4f780b5153e66a4
1525,"['G', 'C', 'C']",Superpowered Horns,100,,68af82cec4f780b5153e66a7
1526,"['G', 'C', 'C']",Loom Over,150-,This attack does 10 less damage for each damage counter on this Pokémon.,68af82cec4f780b5153e66aa
1527,['C'],Gentle Slap,10,,68af82cec4f780b5153e66ad
1528,"['G', 'C']",Vine Slap,10,,68af82cec4f780b5153e66ad
1529,"['1', 'F', 'F']",Wild Impact,220,"During your next turn, this Pokémon can't attack.",68b2ea11b594c9577ba43414
1530,"['F', 'F', 'F']",Land Scoop,150,Put 2 damage counters on 1 of your opponent's Benched Pokémon.,68b2ea11b594c9577ba43417
1531,"['1', 'L', 'L']",Photon Blaster,220,"During your next turn, this Pokémon can't attack.",68b2ea11b594c9577ba4341a
1532,"['W', 'W']",Hail Blade,60X,You may discard any amount of W Energy from your Pokemon. This attack does 60 damage for each card you discarded this way.,68b2ea11b594c9577ba4341d
1533,"['R', 'R']",Flame Surge,100,"Choose up to 3 of your Benched Pokemon. For each of those Pokemon, search your deck for a Basic R Energy card and attach it to that Pokemon. Then, shuffle your deck.",68b2ea11b594c9577ba43420
1534,"['1', 'G', 'G']","Devouring Ivy
This attack does 60 damage to 1 of your opponent’s Benched Pokemon for each Prize card your opponent has taken.",Don’t apply Weakness and Resistance for Benched Pokemon.,,68b2ea11b594c9577ba43423
1535,"['1', 'G', 'G', 'G']",Forest Blast,220,,68b2ea11b594c9577ba43423
1536,"['R', 'R']",Burning Darkness,180+,This attack does 30 more damage for each Prize card your opponent has taken.,68b2ea11b594c9577ba43435
1537,"['1', 'P', 'P']",Miracle Force,190,Heal any Special Conditions on this Pokemon.,68b2ea11b594c9577ba43438
1538,['L'],Light Punch,10,,68b2ea11b594c9577ba4344e
1539,"['1', 'L']",Zap Kick,20,,68b2ea11b594c9577ba4344e
1540,['W'],Jet Punch,30,This attack also does 30 damage to 1 of your opponent’s Benched Pokemon. (Don’t apply Weakness or Resistance for Benched Pokemon).,68b2ea11b594c9577ba43451
1541,['W'],[W] Justice Kick,210,"If this Pokemon didn’t move from the Bench to the Active Spot during this turn, this attack does nothing.",68b2ea11b594c9577ba43451
1542,['W'],Headbutt,30,,68b2ea11b594c9577ba43454
1543,['1'],Motivate,20,Attach up to 2 Basic Energy cards from your discard pile to 1 of your Benched Pokemon.,68b2ea12b594c9577ba43457
1544,['3'],Friend Tackle,90+,"If you played a Supporter card from your hand during this turn, this attack does 90 more damage.",68b2ea12b594c9577ba4345a
1545,['2'],Blustery Wind,120,You may discard a Stadium card in play.,68b2ea12b594c9577ba4345d
1546,['2'],Covert Flight,70,"During your opponent's next turn, prevent all damage done to this Pokémon by attacks from Basic Pokémon.",68b2ea12b594c9577ba43460
1547,"['P', 'D']",Dominating Echo,140,"During your opponent's next turn, they can't play any Special Energy or Stadium cards from their hand.",68b2ea12b594c9577ba43460
1548,"['2', 'D']",Needle Bone,200,"Flip a coin. If tails, during your next turn, this Pokémon can't attack.",68b2ea12b594c9577ba43463
1549,"['F', 'F']",Poisonous Gem,140,Your opponent's Active Pokémon is now Poisoned.,68b2ea12b594c9577ba43466
1550,"['1', 'P', 'P']",Miracle Force,190,Heal any Special Conditions on this Pokemon.,68b2ea12b594c9577ba43469
1551,['2'],Mind Jack,90+,This attack does 30 more damage for each of your opponent's Benched Pokemon.,68b2ea12b594c9577ba4346f
1552,"['P', 'P']",Dimensional Hand,120,This attack can be used if this Pokemon is on the Bench.,68b2ea12b594c9577ba4346f
1553,['G'],[G] Colony Rush,80+,This attack does 40 more damage for each of your Benched Pokemon with [G] Energy attached.,68b2ea12b594c9577ba43475
1554,"['G', 'G']",Guard Press,120,"During your opponent’s next turn, this Pokemon takes 30 less damage from attacks (after applying Weakness and Resistance).",68b2ea12b594c9577ba43478
1555,['2'],United Wings,20x,This attack does 20 damage for each Pokémon in your discard pile that has the United Wings attack.,68b2ea12b594c9577ba4347b
1556,['1'],Slap,40,,68b2ea12b594c9577ba4347e
1557,['2'],Family Attack,70x,This attack deals 70 damage for each of your Maushold in play.,68b2ea12b594c9577ba4347e
1558,['3'],Gentle Slap,30,,68b2ea12b594c9577ba43481
1559,['3'],Perfume Press,70,Your opponent’s Active Pokémon is now Confused.,68b2ea12b594c9577ba43484
1560,['3'],Whimsy Tackle,70,"Flip a coin. If tails, this attack does nothing.",68b2ea12b594c9577ba43487
1561,['2'],Bite,50,,68b2ea12b594c9577ba4348a
1562,['3'],Enchanted Fang,80,"If this Pokemon has a Pokemon Tool attached, this attack does 80 more damage.",68b2ea12b594c9577ba4348a
1563,['2'],Bite,20,,68b2ea12b594c9577ba4348d
1564,['3'],Wing Attack,90,,68b2ea12b594c9577ba43490
1565,['2'],Gust,30,,68b2ea12b594c9577ba43493
1566,['3'],Thudding Press,130,This Pokemon also does 30 damage to itself.,68b2ea12b594c9577ba43496
1567,['1'],Splup,10,,68b2ea12b594c9577ba43499
1568,['1'],Ballistic Beak,10+,This attack does 30 more damage for each damage counter on this Pokémon.,68b2ea12b594c9577ba4349c
1569,['1'],Reckless Charge,30,This Pokémon also does 10 damage to itself.,68b2ea12b594c9577ba4349f
1570,['2'],Stompy Stomp,20x,Flip 2 coins. This attack does 20 damage for each heads.,68b2ea12b594c9577ba434a2
1571,['1'],Flap,20,,68b2ea13b594c9577ba434a5
1572,['2'],Tackle,20,,68b2ea13b594c9577ba434a8
1573,"['P', 'D']",Gust,40,,68b2ea13b594c9577ba434ae
1574,"['3', 'M']",Knock Away,90+,"Flip a coin. If heads, this attack does 90 more damage.",68b2ea13b594c9577ba434b1
1575,['M'],Punishing Scissors,10+,This attack does 50 more damage for each of your opponent's Pokémon in play that has an Ability.,68b2ea13b594c9577ba434b7
1576,"['M', 'M']",Cut,70,,68b2ea13b594c9577ba434b7
1577,['D'],Colorful Graffiti,40x,You may discard as many Basic Energy cards as you like from your hand. This attack does 40 damage for each type of Basic Energy card you discarded in this way.,68b2ea13b594c9577ba434ba
1578,['D'],Scratch,10,,68b2ea13b594c9577ba434bd
1579,"['2', 'D']",Strike Cut,160,,68b2ea13b594c9577ba434c3
1580,['D'],Dark Cutter,40,,68b2ea13b594c9577ba434c6
1581,"['1', 'D']",Double-Edged Slash,120,This Pokemon also does 30 damage to itself.,68b2ea13b594c9577ba434c6
1582,['1'],Scratch,10,,68b2ea13b594c9577ba434c9
1583,"['1', 'D']",Pierce,20,,68b2ea13b594c9577ba434c9
1584,['D'],Unseen Claw,20+,"If your opponent's Active Pokémon is affected by a Special Condition, this attack does 70 more damage.",68b2ea13b594c9577ba434cc
1585,"['1', 'D']",Slashing Claw,70,,68b2ea13b594c9577ba434cf
1586,['D'],Dig Claws,20,,68b2ea13b594c9577ba434d2
1587,['1'],Spin Turn,10,Switch this Pokémon with 1 of your Benched Pokémon.,68b2ea13b594c9577ba434d5
1588,['D'],Unified Wing,20x,This attack does 20 damage for each Pokémon in your discard pile that has the Unified Wing attack.,68b2ea13b594c9577ba434d5
1589,['D'],Ram,10,,68b2ea13b594c9577ba434d8
1590,['F'],Rock Throw,20,,68b2ea13b594c9577ba434db
1591,"['F', 'F']",Knocking Hammer,130,Discard the top card of your opponent's deck.,68b2ea13b594c9577ba434de
1592,"['F', 'F']",Salt Cannon,60x,Flip 3 coins. This attack does 60 damage for each heads.,68b2ea13b594c9577ba434e1
1593,"['F', 'F']",Tackle,30,,68b2ea13b594c9577ba434e4
1594,"['2', 'F']",Wing Attack,70,,68b2ea13b594c9577ba434e7
1595,['F'],Vengeful Knuckles,30+,"If any of your [F] Pokémon were Knocked Out by damage from an attack from your opponent’s Pokemon during their last turn, this attack does 120 more damage.",68b2ea13b594c9577ba434ea
1596,"['2', 'F']",Accelerating Stab,120,This Pokemon can’t use Accelerating Stab during your next turn.,68b2ea13b594c9577ba434ea
1597,['F'],Punch,10,,68b2ea13b594c9577ba434ed
1598,"['1', 'F']",Reckless Charge,50,This Pokemon also does 20 damage to itself.,68b2ea13b594c9577ba434ed
1599,['2'],Angry Horn,20+,This attack does 10 more damage for each damage counter on this Pokémon.,68b2ea14b594c9577ba434f0
1600,"['1', 'F', 'F']",Combat Tackle,130,This Pokémon also does 30 damage to itself.,68b2ea14b594c9577ba434f0
1601,['F'],Rage Fist,70x,This attack does 70 damage for each Prize card your opponent has taken.,68b2ea14b594c9577ba434f3
1602,"['F', 'F']",Dynamite Punch,170,This Pokémon also does 50 damage to itself.,68b2ea14b594c9577ba434f3
1603,['F'],Thrashing Punch,70,This Pokemon does 20 damage to itself.,68b2ea14b594c9577ba434f6
1604,['F'],Thrash,20+,"Flip a coin. If tails, this Pokemon also does 20 damage to itself. If Heads, this attack does 20 more damage.",68b2ea14b594c9577ba434f9
1605,"['P', 'P']",Grave Visit,80,This attack does 10 damage for each [P] Pokemon in your discard pile.,68b2ea14b594c9577ba434fc
1606,"['1', 'P']",Special Hammer,90+,"If this Pokémon has any Special Energy attached, this attack does 90 more damage.",68b2ea14b594c9577ba434ff
1607,['2'],Play Rough,30+,"Flip a coin. If heads, this attack does 30 more damage.",68b2ea14b594c9577ba43502
1608,"['2', 'P']",Pulverizing Press,60,This attack's damage isn't affected by any effects on your opponent's Active Pokémon.,68b2ea14b594c9577ba43502
1609,"['2', 'P']",Fairy Wind,30,,68b2ea14b594c9577ba43505
1610,"['P', 'P']",Psybeam,50,Your opponent's Active Pokémon is now Confused.,68b2ea14b594c9577ba4350b
1611,['2'],Life Sucker,50,Heal 30 damage from this Pokémon. (50),68b2ea14b594c9577ba4350e
1612,"['2', 'P']",Fighting Sword,100+,"If your Opponent's Active Pokémon is a Pokémon ex or Pokémon V, this attack does 100 more damage.",68b2ea14b594c9577ba4350e
1613,"['2', 'P']",Headbutt Bounce,100,,68b2ea14b594c9577ba43511
1614,['1'],Joust,10,"Before doing damage, discard all Pokémon Tools from your opponent's Active Pokémon.",68b2ea14b594c9577ba43517
1615,['1'],Fade Out,10,Put this Pokémon and all attached cards into your hand.,68b2ea14b594c9577ba4351a
1616,['2'],Gust,30,,68b2ea14b594c9577ba43520
1617,['2'],Gust,10,,68b2ea14b594c9577ba43523
1618,"['P', 'P']",Balloon Blast,30x,This attack does 30 damage for each damage counter on this Pokemon.,68b2ea14b594c9577ba43523
1619,"['1', 'P']",Magical Shot,30,,68b2ea14b594c9577ba43526
1620,"['1', 'P', 'P']",Psychic,60+,This attack does 20 more damage for each Energy attached to your opponent’s Active Pokemon.,68b2ea14b594c9577ba43526
1621,"['1', 'P']",Psyshot,30,,68b2ea14b594c9577ba43529
1622,['P'],Triple Strike,10x,Flip 3 coins. This attack does 10 damage for each heads.,68b2ea14b594c9577ba4352f
1623,['P'],Teleportation Attack,30,Switch this Pokemon with 1 of your Benched Pokemon,68b2ea14b594c9577ba43535
1624,['P'],Psyshot,20,,68b2ea14b594c9577ba43538
1625,"['2', 'P']",Magical Shot,100,,68b2ea14b594c9577ba4353b
1626,['1'],Peck,10,,68b2ea15b594c9577ba43541
1627,['2'],United Wings,20x,This attack does 20 damage for each Pokémon in your discard pile that has the United Wings attack.,68b2ea15b594c9577ba43541
1628,"['1', 'L', 'L']",Electro Paw,230,Discard all Energy from this Pokemon.,68b2ea15b594c9577ba43544
1629,['L'],Thundershock,30,"Flip a coin. If heads, your opponent’s Active Pokemon is now Paralyzed.",68b2ea15b594c9577ba43547
1630,"['1', 'L', 'L']",Head Volt,70,,68b2ea15b594c9577ba43547
1631,['L'],Toss,10,,68b2ea15b594c9577ba4354a
1632,"['1', 'L']",Elekick,20,,68b2ea15b594c9577ba4354a
1633,"['L', '1']",Loud Mix,50+,This attack does 30 more damage for each different type of Pokémon on your Bench.,68b2ea15b594c9577ba4354d
1634,['L'],Slight Intrusion:,30,This Pokémon does 10 damage to itself.,68b2ea15b594c9577ba43550
1635,['L'],[L] Gigantic Bolt,140,This Pokémon also does 90 damage to itself.,68b2ea15b594c9577ba43553
1636,"['1', 'L']",Group Zap,10+,This attack does 20 more damage for each of your Benched [L] Pokemon. This attack’s damage isn’t affected by Weakness.,68b2ea15b594c9577ba43556
1637,"['2', 'L']",Wild Charge,180,This Pokemon also does 20 damage to itself.,68b2ea15b594c9577ba43559
1638,['L'],Zap Kick,30,,68b2ea15b594c9577ba4355c
1639,"['2', 'L']",Head Bolt,60,,68b2ea15b594c9577ba4355c
1640,['L'],Wilk Kick,30,"Flip a coin. If tails, this attack does nothing.",68b2ea15b594c9577ba4355f
1641,['L'],Bang Boom Chain,20+,"Before doing damage, you may discard any number of Pokémon Tools from your Pokémon. This attack does 40 more damage for each card you discarded in this way.",68b2ea15b594c9577ba43562
1642,"['1', 'L']",Electro Ball,70,,68b2ea15b594c9577ba43562
1643,['L'],Tumbling Attack,10+,"Flip a coin. If heads, this attack does 20 more damage.",68b2ea15b594c9577ba43565
1644,"['1', 'L', 'L']",Thunder,180,This Pokemon also does 50 damage to itself,68b2ea15b594c9577ba43568
1645,['1'],"Growl
During your opponent’s next turn, the Defending Pokemon’s attacks do 20 less damage",before applying Weakness and Resistance,.,68b2ea15b594c9577ba4356b
1646,"['1', 'L']",Pika Bolt,30,,68b2ea15b594c9577ba4356b
1647,"['1', 'W', 'W']",Buster Tail,130,,68b2ea15b594c9577ba4356e
1648,"['1', 'W']",Sharp Fin,40,,68b2ea15b594c9577ba43571
1649,"['1', 'W', 'W']",Frost Smash,80,,68b2ea15b594c9577ba43571
1650,['W'],Flip Back,30,Put this Pokémon and all attached cards into your hand.,68b2ea15b594c9577ba43577
1651,['2'],Vent Wrath,50x,This attack does 50 damage for each Tatsugiri in your discard pile.,68b2ea15b594c9577ba4357a
1652,"['2', 'W', 'W']",Heavy Splash,120,,68b2ea15b594c9577ba4357a
1653,['W'],Ram,20,,68b2ea15b594c9577ba4357d
1654,"['3', 'W']",Slim Screw,120,"If you don’t have any cards in your hand, this attack can be used for 1 W Energy.",68b2ea15b594c9577ba4357d
1655,['W'],Jet Punch,30,This attack also does 30 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),68b2ea15b594c9577ba43580
1656,"['W', 'W']",Justice Kick,210,"If this Pokémon didn't move from the Bench to the Active Spot this turn, this attack does nothing.",68b2ea15b594c9577ba43580
1657,['W'],Razor Fin,10,,68b2ea15b594c9577ba43583
1658,['W'],Headbutt,30,,68b2ea15b594c9577ba43586
1659,['2'],Ram,20,,68b2ea15b594c9577ba43589
1660,['2'],Ragin Horns,20+,This attack does 10 more damage for each damage counter on this Pokemon.,68b2ea16b594c9577ba4358c
1661,"['2', 'W']","Aqua Dive
This attack does 60 damage to 1 of your opponent's Pokemon.",Don't apply Weakness and Resistance for Benched Pokemon.,,68b2ea16b594c9577ba4358c
1662,"['1', 'W']",Speed Attack,50,,68b2ea16b594c9577ba4358f
1663,"['1', 'W']",Swift,30,"This attack's damage isn't affected by Weakness or Resistance, or by any effects on your opponent's Active Pokemon.",68b2ea16b594c9577ba43592
